Rec,Inf,Name,Position,Club,On Loan From,Based,Asking Price,Wage,Expires,Nat,2nd Nat,Home-Grown Status,Height,Weight,Preferred Foot,Age,Personality,Media Handling,Transfer Value,Apps,Mins,Gls,Ast,Clean sheets,xG - Goals,npxG,npxG - npG,npxG per 90,npxG per Shot (min. 10 shots),Offsides per npxG (min. 1 npxG),Assist per Key Pass (min. 5 KP),Net Fouls,Yellow Cards per Tackle,Tackles Won per 90,Defensive Actions per 90,Apps,Starts,Mins,Mins/Gm,Av Rat,Gls,Gls/90,Shots,ShT,Shot %,Shot/90,ShT/90,Pens,Pens S,Pen/R,Off,xG,CCC,Ch C/90,Ast,Asts/90,K Pas,K Ps/90,Pas A,Ps A/90,Ps C,Ps C/90,Pas %,Cr A,Cr C,Cr C/A,Drb,Drb/90,FA,Distance,Hdrs A,Aer A/90,Hdrs,Hdrs W/90,Hdr %,K Tck,Tck W,Tck,Tck R,Fls,Yel,Red,Itc,Int/90,Clear,Conc,Con/90,Clean sheets,xSv %,Svh,Svt,Svp,Sv %,Pens Faced,Pens Saved,Pens Saved Ratio,PoM,Substitute Appearances,Minutes per Game,Tackles Attempted,Distance per 90,Clearances per 90
- - -,Trn,Federico Dimarco,"D (LC), WB/M (L)",Atalanta,,Italy (Serie A),-,"£135,000 p/w",30/6/2029,ITA,,Trained in nation (15-21),175 cm,75 kg,Left,31,Spirited,Evasive,£7.4M - £8.8M,30 (1),"2,539",1,13,-,0.55,1.55,0.55,0.055,0.078,6.45,0.064,-1,0.104,2.34,11.38,30 (1),30,"2,539",247.49,7.88,1,0.04,20,4,20%,0.71,0.14,0,0,-,10,1.55,28,3.5,13,0.46,204,7.23,"1,826",64.73,"1,633",57.88,89%,531,200,37%,20,0.71,33,384.2km,147,5.21,95,3.37,65%,5,66,2.34,86%,32,8,0,73,2.59,61,-,-,-,-,-,-,-,-,77,0,-,7,1,81.9,77,13.619,2.16
- - -,Wnt,Dinis Gomes,M/AM (R),Real San Sebastián,,Spain (First Division),-,"£98,000 p/w",30/6/2033,POR,GNB,-,166 cm,67 kg,Left,22,Resolute,Level-headed,£91M - £108M,54 (1),"4,724",23,18,-,-1.62,21.38,-1.62,0.407,0.114,1.26,0.168,-24,0.072,1.067,5.44,54 (1),54,"4,724",259.43,7.51,23,0.44,187,76,41%,3.56,1.45,0,0,-,27,21.38,28,1.99,18,0.34,107,2.04,"2,599",49.52,"2,234",42.56,86%,257,76,29%,113,2.15,96,691.9km,237,4.52,136,2.59,57%,0,56,1.07,81%,72,5,0,71,1.35,50,-,-,-,-,-,-,-,-,69,0,-,8,1,85.89,69,13.182,0.95
- - -,Inj,Nikola Milenković,D (RC),Leicester,,England (Premier Division),-,"£100,000 p/w",30/6/2031,SRB,ENG,-,195 cm,90 kg,Right,31,Fairly Professional,Scouting Required,Not for Sale,27 (8),"2,742",1,2,-,0.19,1.19,0.19,0.039,0.108,3.36,0.133,20,0.157,1.346,18.33,27 (8),27,"2,742",232.14,7.16,1,0.03,11,5,45%,0.36,0.16,0,0,-,4,1.19,3,0.24,2,0.07,15,0.49,"2,119",69.55,"2,000",65.65,94%,66,22,33%,15,0.49,16,343.0km,373,12.24,317,10.4,85%,1,41,1.35,80%,36,8,1,63,2.07,192,-,-,-,-,-,-,-,-,51,0,-,0,8,78.34,51,11.258,6.30
- - -,,Alisson,GK,Liverpool,,England (Premier Division),-,"£215,000 p/w",30/6/2030,BRA,ENG,-,191 cm,91 kg,Right,36,Professional,Scouting Required,Not for Sale,52,"4,616",0,0,27,,,,,,,,-14,,0,,52,52,"4,616",273.53,7.27,0,-,0,-,-,-,-,0,0,-,0,0,1,0.03,0,-,3,0.06,"2,185",42.6,"1,823",35.54,83%,-,-,-,0,-,14,330.4km,-,-,-,-,-,0,0,0,0%,0,0,0,7,0.14,-,47,0.92,27,-1085%,55,26,73,-1%,6,0,-,2,,88.77,,6.442,
- - -,,Álvaro Fernández,GK,Inter,,Italy (Serie A),-,"£185,000 p/w",30/6/2032,ESP,BAS,-,186 cm,74 kg,Right,31,Resolute,Scouting Required,Not for Sale,46,"4,140",0,0,23,,,,,,,,0,,0,,46,46,"4,140",180,7.02,0,-,0,-,-,-,-,0,0,-,0,0,0,-,0,-,0,-,"1,667",36.24,"1,453",31.59,87%,-,-,-,0,-,0,301.1km,-,-,-,-,-,0,0,0,0%,0,0,0,10,0.22,-,41,0.89,23,-735%,70,15,51,-1%,1,0,-,4,,90,,6.546,
- - -,,Jens Petter Hauge,"M (L), AM (RL)",A. Madrid,,Spain (First Division),-,"£120,000 p/w",30/6/2031,NOR,,-,184 cm,75 kg,Right,29,Fairly Determined,Scouting Required,£49M - £60M,8 (8),781,4,0,-,-0.45,2.79,-0.21,0.322,0.08,2.15,0,-5,0,1.778,9.06,8 (8),8,781,136.33,7.11,4,0.46,35,17,49%,4.03,1.96,1,1,100%,6,3.55,2,0.3,0,-,15,1.73,443,51.05,392,45.17,88%,25,7,28%,23,2.65,17,113.9km,84,9.68,52,5.99,62%,0,16,1.84,84%,12,0,0,13,1.5,8,-,-,-,-,-,-,-,-,19,1,84%,1,8,48.81,19,13.125,0.92
- - -,,Martín Satriano,"AM (C), ST (C)",Milan,,Italy (Serie A),-,"£130,000 p/w",30/6/2032,URU,ITA,Trained in nation (0-21),187 cm,75 kg,Right,28,Resolute,Level-headed,£49M - £70M,42 (2),"3,530",19,4,-,-0.55,18.45,-0.55,0.47,0.116,2.17,0.095,-22,0.105,0.357,9.52,42 (2),42,"3,530",248.35,7.05,19,0.48,159,79,50%,4.05,2.01,0,0,-,40,18.45,6,0.51,4,0.1,42,1.07,"1,402",35.75,"1,160",29.58,83%,32,8,25%,27,0.69,69,488.7km,556,14.18,329,8.39,59%,0,14,0.36,74%,47,2,0,24,0.61,72,-,-,-,-,-,-,-,-,19,0,-,2,2,80.23,19,12.46,1.84
- - -,,Julian Weigl,"D (C), DM, M (C)",Inter,,Italy (Serie A),-,"£90,000 p/w",30/6/2031,GER,,-,186 cm,71 kg,Right,33,Light-Hearted,Scouting Required,£3.9M - £5.6M,9 (16),"1,140",0,2,-,0.29,0.29,0.29,0.023,,,0.125,6,0.158,1.184,5.75,9 (16),9,"1,140",91.2,6.88,0,-,7,2,29%,0.55,0.16,0,0,-,0,0.29,4,0.39,2,0.16,16,1.26,"1,238",97.74,"1,143",90.24,92%,6,3,50%,0,-,8,159.1km,48,3.79,36,2.84,75%,0,15,1.18,79%,14,3,0,10,0.79,19,-,-,-,-,-,-,-,-,19,0,-,0,16,45.6,19,12.561,1.50
- - -,,Benjamin Sagnier,"AM (L), ST (C)",Newcastle,,England (Premier Division),-,"£57,000 p/w",30/6/2033,FRA,,-,179 cm,73 kg,Right,20,Driven,Scouting Required,£78M - £92M,18 (1),"1,551",8,3,-,1.95,9.95,1.95,0.577,0.169,1.61,0.12,-23,0,0.696,5.85,18 (1),18,"1,551",167.77,7.28,8,0.46,59,32,54%,3.42,1.86,0,0,-,16,9.95,5,0.68,3,0.17,25,1.45,701,40.68,599,34.76,85%,37,13,35%,34,1.97,48,219.0km,138,8.01,56,3.25,41%,0,12,0.7,63%,25,0,0,25,1.45,19,-,-,-,-,-,-,-,-,19,0,-,2,1,81.63,19,12.708,1.10
- - -,,Carlo Alberto Sarzi Puttini,D (RC),Atalanta,,Italy (Serie A),-,"£89,000 p/w",30/6/2032,ITA,,Trained in nation (15-21),188 cm,85 kg,Right,21,Spirited,"Evasive, Unflappable",£83M - £104M,32 (3),"2,749",0,6,-,0.43,0.43,0.43,0.014,,,0.055,-2,0.063,1.702,16.98,32 (3),32,"2,749",241.62,7.47,0,-,7,2,29%,0.23,0.07,0,0,-,7,0.43,19,1.52,6,0.2,110,3.6,"1,828",59.85,"1,628",53.3,89%,245,98,40%,18,0.59,38,404.9km,255,8.35,222,7.27,87%,4,52,1.7,83%,36,4,0,113,3.7,140,-,-,-,-,-,-,-,-,63,0,-,1,3,78.54,63,13.256,4.58
- - -,nEU,Darío Sarmiento,"M (L), AM (LC), ST (C)",Inter,,Italy (Serie A),-,"£115,000 p/w",30/6/2032,ARG,,-,167 cm,66 kg,Left,26,Fairly Professional,Media-friendly,£29M - £35M,5 (14),762,2,2,-,0.53,2.53,0.53,0.299,0.158,3.16,0.077,-17,0.04,2.222,5.84,5 (14),5,762,69.02,7.01,2,0.24,16,4,25%,1.89,0.47,0,0,-,8,2.53,11,1.45,2,0.24,26,3.07,406,47.95,371,43.82,91%,77,12,15%,31,3.66,29,124.6km,35,4.13,18,2.13,51%,0,20,2.36,80%,12,1,0,13,1.54,2,-,-,-,-,-,-,-,-,25,0,-,1,14,40.11,25,14.717,0.24
- - -,,Ferran Torres,"M (R), AM (RL), ST (C)",Barcelona,,Spain (First Division),-,"£235,000 p/w",30/6/2033,ESP,,-,184 cm,77 kg,Right,29,Fairly Professional,Level-headed,£62M - £74M,48 (3),"3,584",19,7,-,-1.17,17.83,-1.17,0.448,0.107,1.18,0.127,-49,0.028,0.728,8.07,48 (3),48,"3,584",221.27,7.27,19,0.48,166,89,54%,4.17,2.23,0,0,-,21,17.83,17,1.38,7,0.18,55,1.38,"1,553",39,"1,318",33.1,85%,90,13,14%,62,1.56,82,515.7km,494,12.41,247,6.2,50%,0,29,0.73,81%,33,1,0,30,0.75,65,-,-,-,-,-,-,-,-,36,0,-,2,3,70.27,36,12.95,1.63
- - -,,André Silva,"AM (RLC), ST (C)",Borussia M'gladbach,,Germany (Bundesliga),-,"£72,000 p/w",30/6/2030,POR,,-,185 cm,82 kg,Right,33,Fairly Professional,Scouting Required,Not for Sale,31,"2,553",11,4,-,-1.38,6.58,-0.42,0.232,0.08,2.58,0.114,-72,0.057,0.846,7.3,31,31,"2,553",82.35,7.09,11,0.39,82,37,45%,2.89,1.3,4,4,100%,17,9.62,5,0.18,4,0.14,35,1.23,"1,040",36.66,882,31.09,85%,34,9,26%,26,0.92,104,354.0km,339,11.95,164,5.78,48%,0,24,0.85,69%,32,2,0,18,0.63,34,-,-,-,-,-,-,-,-,35,4,69%,6,,82.35,35,12.479,1.20
- - -,,Ousmane Dembélé,"M/AM (RL), ST (C)",Inter,,Italy (Serie A),-,"£175,000 p/w",30/6/2030,FRA,MTN,-,178 cm,65 kg,Either,32,Balanced,Scouting Required,£18.5M - £26M,34 (8),"2,917",13,9,-,-4.16,8.84,-4.16,0.273,0.107,2.49,0.114,-28,0.015,1.666,6.46,34 (8),34,"2,917",174.23,7.16,13,0.4,83,40,48%,2.56,1.23,0,0,-,22,8.84,34,2.45,9,0.28,79,2.44,"1,992",61.46,"1,741",53.72,87%,172,47,27%,107,3.3,60,454.4km,161,4.97,79,2.44,49%,1,54,1.67,79%,32,1,0,54,1.67,29,-,-,-,-,-,-,-,-,68,0,-,2,8,69.45,68,14.02,0.89
- - -,nEU,Ivan Lazić,"AM (R), ST (C)",Atalanta,,Italy (Serie A),-,"£205,000 p/w",30/6/2033,SRB,,-,179 cm,74 kg,Right,20,Realist,Level-headed,£82M - £103M,45 (3),"4,060",48,8,-,-11.24,35.24,-11.76,0.781,0.166,1.79,0.148,3,0,0.244,2.05,45 (3),45,"4,060",263.94,7.49,48,1.06,212,108,51%,4.7,2.39,2,1,50%,63,36.76,10,0.8,8,0.18,54,1.2,855,18.95,722,16,84%,80,29,36%,41,0.91,63,527.6km,206,4.57,73,1.62,35%,0,11,0.24,79%,66,0,0,11,0.24,12,-,-,-,-,-,-,-,-,14,1,79%,6,3,84.58,14,11.696,0.27
- - -,Wnt,Ferland Mendy,"D (RL), WB (L)",Man City,,England (Premier Division),£8.5M,"£145,000 p/w",30/6/2030,FRA,SEN,-,178 cm,72 kg,Left,33,Resolute,Scouting Required,£7M - £8.6M,18 (4),"1,555",1,1,-,-0.31,0.69,-0.31,0.04,,,0.053,6,0.044,2.199,14.16,18 (4),18,"1,555",194.25,6.88,1,0.06,8,2,25%,0.46,0.12,0,0,-,2,0.69,4,0.85,1,0.06,19,1.1,"1,072",62.05,971,56.2,91%,113,31,27%,12,0.69,12,228.7km,112,6.48,87,5.04,78%,3,38,2.2,84%,18,2,0,44,2.55,66,-,-,-,-,-,-,-,-,45,0,-,0,4,70.68,45,13.237,3.82
- - -,Inj,Oliver Skipp,"DM, M (C)",Tottenham,,England (Premier Division),-,"£190,000 p/w",30/6/2032,ENG,,-,181 cm,70 kg,Right,28,Fairly Professional,Reserved,£119M - £172M,34,"2,829",4,5,-,-0.92,3.08,-0.92,0.098,0.091,1.3,0.119,29,0.036,1.241,7.38,34,34,"2,829",237.03,7.22,4,0.13,34,17,50%,1.08,0.54,0,0,-,4,3.08,10,0.55,5,0.16,42,1.34,"2,447",77.85,"2,147",68.3,88%,20,10,50%,10,0.32,16,387.8km,163,5.19,115,3.66,71%,1,39,1.24,71%,45,2,0,34,1.08,58,-,-,-,-,-,-,-,-,55,0,-,2,,83.21,55,12.337,1.85
- - -,,Amine Gouiri,"M/AM (L), ST (C)",A. Madrid,,Spain (First Division),-,"£175,000 p/w",30/6/2031,FRA,ALG,-,180 cm,72 kg,Right,29,Spirited,Scouting Required,£58M - £71M,47 (2),"4,031",21,7,-,-2.73,17.51,-2.49,0.391,0.105,1.77,0.086,1,0.031,1.742,8.46,47 (2),47,"4,031",249.74,7.4,21,0.47,166,80,48%,3.71,1.79,1,1,100%,31,18.27,20,1.1,7,0.16,81,1.81,"2,011",44.9,"1,752",39.12,87%,110,38,34%,101,2.26,69,601.8km,413,9.22,256,5.72,62%,0,78,1.74,80%,70,3,0,51,1.14,45,-,-,-,-,-,-,-,-,97,1,80%,8,2,82.27,98,13.436,1.00
- - -,Inj,Diogo Jota,"AM (RLC), ST (C)",Napoli,,Italy (Serie A),-,"£120,000 p/w",30/6/2030,POR,,-,178 cm,73 kg,Right,32,Spirited,Scouting Required,Not for Sale,41,"3,413",19,5,-,-4.27,14.73,-4.27,0.388,0.149,1.77,0.088,-18,0.057,0.501,3.67,41,41,"3,413",246.88,7.02,19,0.5,99,47,47%,2.61,1.24,0,0,-,26,14.73,16,1.29,5,0.13,57,1.5,"1,416",37.34,"1,187",31.3,84%,62,17,27%,59,1.56,65,462.3km,305,8.04,100,2.64,33%,0,19,0.5,54%,47,2,0,26,0.69,14,-,-,-,-,-,-,-,-,35,0,-,5,,83.24,35,12.191,0.37
- - -,,Donny van de Beek,"DM, M/AM (C)",Inter,,Italy (Serie A),-,"£74,000 p/w",30/6/2031,NED,,-,184 cm,67 kg,Right,32,Resolute,Scouting Required,£11M - £12.5M,12 (21),"1,366",2,3,-,1.09,3.09,1.09,0.204,0.091,0.65,0.077,-20,0.024,2.306,8.78,12 (21),12,"1,366",122.25,6.96,2,0.13,34,17,50%,2.24,1.12,0,0,-,2,3.09,13,0.97,3,0.2,39,2.57,"1,029",67.8,915,60.29,89%,12,2,16%,13,0.86,29,229.5km,109,7.18,69,4.55,63%,0,35,2.31,85%,9,1,0,22,1.45,21,-,-,-,-,-,-,-,-,41,0,-,1,21,41.39,41,15.121,1.38
- - -,,Dodo,D/WB (R),R. Madrid,,Spain (First Division),-,"£275,000 p/w",30/6/2031,BRA,ESP,-,166 cm,71 kg,Right,30,Spirited,Scouting Required,£48M - £56M,43,"3,617",1,8,-,2.04,3.04,2.04,0.076,0.19,6.58,0.143,3,0.072,1.642,12.83,43,43,"3,617",240.8,7.17,1,0.02,16,3,19%,0.4,0.07,0,0,-,20,3.04,18,1.95,8,0.2,56,1.39,"2,006",49.91,"1,848",45.98,92%,326,77,23%,117,2.91,41,521.8km,268,6.67,187,4.65,70%,3,66,1.64,80%,44,6,1,128,3.18,145,-,-,-,-,-,-,-,-,83,0,-,2,,84.12,83,12.984,3.61
- - -,Lst,Eric García,D (C),Barcelona,,Spain (First Division),£45M,"£475,000 p/w",30/6/2031,ESP,,-,182 cm,77 kg,Right,28,Resolute,Reserved,£45M,30 (4),"2,667",1,1,-,0.82,1.82,0.82,0.061,0.121,0,0.1,6,0.057,0.911,19.52,30 (4),30,"2,667",242.89,7.12,1,0.03,15,3,20%,0.51,0.1,0,0,-,0,1.82,3,0.43,1,0.03,10,0.34,"2,408",81.26,"2,323",78.39,96%,3,1,33%,13,0.44,13,306.7km,380,12.82,298,10.06,78%,5,27,0.91,77%,19,2,0,72,2.43,196,-,-,-,-,-,-,-,-,35,0,-,1,4,78.44,35,10.35,6.61
- - -,,Aurélien Tchouameni,"DM, M (C)",AS Monaco,,France (Ligue 1 Uber Eats),-,"£300,000 p/w",30/6/2031,FRA,CMR,-,187 cm,81 kg,Right,29,Fairly Professional,Level-headed,£55M - £81M,44,"3,517",3,3,-,3.47,6.47,3.47,0.166,0.075,0.62,0.055,20,0.094,1.791,8.82,44,44,"3,517",240.09,7.11,3,0.08,86,32,37%,2.2,0.82,0,0,-,4,6.47,8,0.44,3,0.08,55,1.41,"3,637",93.07,"3,320",84.96,91%,41,14,34%,9,0.23,25,506.7km,225,5.76,167,4.27,74%,3,70,1.79,82%,45,8,0,37,0.95,77,-,-,-,-,-,-,-,-,85,0,-,0,,79.93,85,12.966,1.97
- - -,,Marcos Llorente,"D (RC), WB (R), DM, M/AM (RC), ST (C)",A. Madrid,,Spain (First Division),-,"£140,000 p/w",30/6/2030,ESP,,-,184 cm,72 kg,Right,34,Professional,Scouting Required,Not for Sale,49 (1),"3,947",4,7,-,-0.12,3.88,-0.12,0.088,0.114,1.8,0.13,54,0.13,1.779,8.71,49 (1),49,"3,947",243.05,7.12,4,0.09,34,13,38%,0.78,0.3,0,0,-,7,3.88,11,0.46,7,0.16,54,1.23,"3,196",72.88,"2,856",65.12,89%,132,30,22%,19,0.43,36,558.9km,196,4.47,150,3.42,77%,3,78,1.78,85%,90,12,0,69,1.57,88,-,-,-,-,-,-,-,-,92,0,-,0,1,78.94,92,12.744,2.01
- - -,,Adam Hložek,"AM (RL), ST (C)",Borussia Dortmund,,Germany (Bundesliga),-,"£45,000 p/w",30/6/2032,CZE,,-,185 cm,81 kg,Right,26,Fairly Professional,Scouting Required,£18.5M - £27M,1 (10),309,3,0,-,-1.55,1.45,-1.55,0.363,0.076,2.76,,0,1,0.25,4.43,1 (10),1,309,72.83,6.73,3,0.87,19,7,37%,5.53,2.04,0,0,-,4,1.45,0,-,0,-,1,0.29,105,30.58,88,25.63,84%,2,0,0%,3,0.87,6,43.1km,40,11.65,14,4.08,35%,0,1,0.29,100%,6,1,0,2,0.58,1,-,-,-,-,-,-,-,-,1,0,-,0,10,28.09,1,12.553,0.29
- - -,,Cristian Romero,D (C),Barcelona,,Spain (First Division),-,"£110,000 p/w",30/6/2031,ARG,,-,185 cm,79 kg,Right,31,Resolute,Reserved,£133M,46 (1),"4,217",1,2,-,0.3,1.3,0.3,0.028,0.072,1.54,0.222,41,0.18,0.704,21.81,46 (1),46,"4,217",271.52,7.27,1,0.02,18,3,17%,0.38,0.06,0,0,-,2,1.3,5,0.18,2,0.04,9,0.19,"3,623",77.32,"3,516",75.04,97%,0,0,0%,2,0.04,11,481.6km,601,12.83,506,10.8,84%,8,33,0.7,66%,52,9,0,144,3.07,368,-,-,-,-,-,-,-,-,50,0,-,3,1,89.72,50,10.278,7.85
- - -,,Darwin Núñez,"AM (L), ST (C)",Newcastle,,England (Premier Division),-,"£140,000 p/w",30/6/2031,URU,,-,187 cm,82 kg,Right,29,Ambitious,Scouting Required,£49M - £70M,15 (23),"1,974",10,3,-,-0.68,8.56,-0.44,0.39,0.104,1.87,0.107,-34,0,1.094,8.64,15 (23),15,"1,974",129.67,6.89,10,0.46,82,37,45%,3.74,1.69,1,1,100%,16,9.32,7,0.35,3,0.14,28,1.28,833,37.98,685,31.23,82%,31,7,22%,27,1.23,62,278.3km,277,12.63,147,6.7,53%,0,24,1.09,89%,28,0,0,19,0.87,29,-,-,-,-,-,-,-,-,27,1,89%,0,23,51.95,27,12.688,1.32
- - -,,Boubacar Kamara,"D (C), DM, M (C)",Liverpool,,England (Premier Division),-,"£160,000 p/w",30/6/2032,FRA,,-,184 cm,68 kg,Right,29,Fairly Determined,Scouting Required,£28M - £41M,13 (3),"1,169",0,0,-,0.65,0.65,0.65,0.05,0.065,,0,11,0.083,0.539,19.85,13 (3),13,"1,169",220.2,7.04,0,-,10,1,10%,0.77,0.08,0,0,-,2,0.65,0,-,0,-,5,0.38,"1,062",81.76,"1,003",77.22,94%,2,0,0%,2,0.15,2,140.8km,165,12.7,131,10.09,79%,1,7,0.54,58%,13,1,0,41,3.16,96,-,-,-,-,-,-,-,-,12,0,-,0,3,73.06,12,10.84,7.39
- - -,,Exequiel Palacios,"DM, M (C)",Bayer 04,,Germany (Bundesliga),-,"£110,000 p/w",30/6/2030,ARG,GER,-,177 cm,67 kg,Right,30,Fairly Determined,Scouting Required,£36M - £52M,36,"2,933",5,5,-,-1.38,2.86,-1.14,0.088,0.106,0.35,0.119,32,0.182,1.473,5.88,36,36,"2,933",165.23,7.07,5,0.15,27,9,33%,0.83,0.28,1,1,100%,1,3.62,10,0.5,5,0.15,42,1.29,"2,712",83.22,"2,389",73.31,88%,29,8,27%,7,0.21,29,417.8km,93,2.85,57,1.75,61%,1,48,1.47,87%,61,10,0,45,1.38,44,-,-,-,-,-,-,-,-,55,1,87%,1,,81.47,55,12.82,1.35
- - -,,Juan Musso,GK,OL,,France (Ligue 1 Uber Eats),-,"£60,000 p/w",30/6/2031,ARG,ITA,-,191 cm,91 kg,Right Only,35,Professional,Scouting Required,Not for Sale,46,"4,170",0,0,16,,,,,,,0,-2,0,0.043,,46,46,"4,170",272.14,6.96,0,-,0,-,-,-,-,0,0,-,0,0,0,-,0,-,5,0.11,"1,651",35.63,"1,104",23.83,67%,-,-,-,0,-,2,306.7km,-,-,-,-,-,1,2,0.04,67%,0,0,0,19,0.41,-,47,1.01,16,-631%,80,18,58,-1%,3,0,-,0,,90.65,3,6.619,
- - -,,Sergi Maestro,ST (C),Inter,,Italy (Serie A),-,"£165,000 p/w",30/6/2032,ESP,,-,191 cm,82 kg,Right,22,Fairly Professional,Reserved,£125M - £180M,19 (17),"2,083",21,1,-,0.93,17.37,2.37,0.751,0.147,1.44,0.038,-3,0.1,0.216,5.77,19 (17),19,"2,083",200.61,7.16,21,0.91,118,62,53%,5.1,2.68,6,6,100%,25,21.93,7,1.52,1,0.04,26,1.12,738,31.89,627,27.09,85%,21,5,23%,22,0.95,37,293.1km,217,9.38,112,4.84,52%,0,5,0.22,50%,34,1,0,8,0.35,31,-,-,-,-,-,-,-,-,10,6,50%,5,17,57.86,10,12.664,1.34
- - -,,Teun Koopmeiners,"D (C), DM, M (C)",Atalanta,,Italy (Serie A),-,"£195,000 p/w",30/6/2031,NED,,-,184 cm,77 kg,Left,31,Driven,Level-headed,£41M - £54M,43 (5),"3,336",6,15,-,0.67,6.67,0.67,0.18,0.073,0.15,0.079,-2,0.059,2.752,9.24,43 (5),43,"3,336",221.09,7.57,6,0.16,91,24,26%,2.46,0.65,0,0,-,1,6.67,39,2.83,15,0.4,191,5.15,"2,738",73.87,"2,413",65.1,88%,347,121,34%,51,1.38,38,524.8km,150,4.05,124,3.35,83%,2,102,2.75,86%,36,7,0,65,1.75,58,-,-,-,-,-,-,-,-,118,0,-,5,5,69.5,119,14.158,1.56
- - -,,Kalvin Phillips,"D (C), DM, M (C)",Arsenal,,England (Premier Division),-,"£105,000 p/w",30/6/2029,ENG,,-,178 cm,70 kg,Right,33,Spirited,Scouting Required,£700K - £3.8M,12 (16),"1,331",1,0,-,1.78,2.78,1.78,0.188,0.132,0,0,-3,0.054,1.623,6.78,12 (16),12,"1,331",164.61,6.91,1,0.07,21,7,33%,1.42,0.47,0,0,-,0,2.78,1,0.13,0,-,18,1.22,"1,172",79.25,"1,046",70.73,89%,13,7,53%,2,0.14,13,183.4km,60,4.06,39,2.64,65%,0,24,1.62,65%,10,2,0,13,0.88,32,-,-,-,-,-,-,-,-,37,0,-,0,16,47.54,37,12.401,2.16
- - -,,Christopher Nkunku,"M/AM (RLC), ST (C)",RB Leipzig,,Germany (Bundesliga),-,"£115,000 p/w",30/6/2030,FRA,COD,-,175 cm,71 kg,Right,31,Balanced,Scouting Required,Not for Sale,35,"2,986",13,13,-,-3.73,9.27,-3.73,0.279,0.116,0.43,0.241,7,0.073,1.055,5.24,35,35,"2,986",172.52,7.29,13,0.39,80,39,49%,2.41,1.18,0,0,-,4,9.27,20,1.5,13,0.39,54,1.63,"1,837",55.37,"1,601",48.26,87%,43,14,32%,34,1.02,43,459.0km,132,3.98,81,2.44,61%,0,35,1.05,64%,50,4,0,46,1.39,28,-,-,-,-,-,-,-,-,55,0,-,4,,85.31,55,13.835,0.84
- - -,,Ismaïla Sarr,"M/AM (RL), ST (C)",R. Madrid,,Spain (First Division),-,"£215,000 p/w",30/6/2030,SEN,,-,185 cm,75 kg,Right,31,Fairly Ambitious,Scouting Required,£30M - £44M,33 (5),"2,630",20,9,-,-4.91,9.77,-3.23,0.334,0.09,1.94,0.243,-28,0.069,0.753,5.56,33 (5),33,"2,630",222.44,7.31,20,0.68,109,60,55%,3.73,2.05,7,7,100%,19,15.09,9,1.32,9,0.31,37,1.27,"1,059",36.24,876,29.98,83%,51,13,25%,32,1.1,64,377.1km,288,9.86,102,3.49,35%,0,22,0.75,76%,36,2,0,23,0.79,36,-,-,-,-,-,-,-,-,29,7,76%,4,5,69.21,29,12.905,1.23
- - -,,Mady Camara,"DM, M/AM (C)",Villarreal,,Spain (First Division),-,"£39,500 p/w",30/6/2031,GUI,ENG,-,182 cm,79 kg,Right,32,Resolute,Scouting Required,Not for Sale,13 (2),"1,220",3,0,-,-2.21,0.79,-2.21,0.058,0.079,,0,12,0.057,1.918,6.34,13 (2),13,"1,220",162.34,7,3,0.22,10,5,50%,0.74,0.37,0,0,-,1,0.79,0,-,0,-,8,0.59,"1,125",82.99,"1,035",76.35,92%,11,3,27%,4,0.3,11,170.7km,57,4.2,40,2.95,70%,0,26,1.92,74%,23,2,0,11,0.81,17,-,-,-,-,-,-,-,-,35,0,-,0,2,81.33,35,12.593,1.25
- - -,,Tyler Adams,"D/WB (RL), DM, M (C)",Villarreal,,Spain (First Division),-,"£91,000 p/w",30/6/2032,USA,,-,175 cm,71 kg,Right,30,Fairly Professional,Scouting Required,£35M - £50M,49 (1),"4,375",2,8,-,0.07,2.07,0.07,0.043,0.109,4.83,0.131,44,0.081,2.057,10.04,49 (1),49,"4,375",267.56,7.06,2,0.04,19,8,42%,0.39,0.16,0,0,-,10,2.07,10,0.67,8,0.16,61,1.25,"3,380",69.53,"3,062",62.99,91%,123,33,26%,22,0.45,44,616.9km,245,5.04,154,3.17,63%,4,100,2.06,74%,88,11,0,86,1.77,143,-,-,-,-,-,-,-,-,136,0,-,2,1,87.5,135,12.691,2.94
- - -,Lst,Fabinho,"D (RC), DM, M (C)",Liverpool,,England (Premier Division),£6M,"£135,000 p/w",30/6/2030,BRA,ENG,-,188 cm,77 kg,Right Only,35,Spirited,Evasive,£6M,5 (3),525,0,1,-,0.06,0.06,0.06,0.01,,,,8,0,0.667,17.18,5 (3),5,525,130.6,7.19,0,-,1,0,0%,0.17,0,0,0,-,1,0.06,1,0.47,1,0.17,2,0.34,404,69.26,401,68.74,99%,3,1,33%,4,0.69,3,67.0km,60,10.29,49,8.4,82%,1,4,0.69,80%,11,0,0,10,1.71,38,-,-,-,-,-,-,-,-,5,0,-,1,3,65.63,5,11.486,6.51
