,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inf,Name,Position,Club,On Loan From,Based,Asking Price,Wage,Expires,Nat,2nd Nat,Home-Grown Status,Height,Weight,Preferred Foot,Age,Personality,Media Handling,Transfer Value,Apps,Starts,Mins,Mins/Gm,Av Rat,Gls,Gls/90,Shots,ShT,Shot %,Shot/90,ShT/90,Pens,Pens S,Pen/R,Off,xG,CCC,Ch C/90,Ast,Asts/90,K Pas,K Ps/90,Pas A,Ps A/90,Ps C,Ps C/90,Pas %,Cr A,Cr C,Cr C/A,Drb,Drb/90,FA,Distance,Hdrs A,Aer A/90,Hdrs,Hdrs W/90,Hdr %,K Tck,Tck C,Tck/90,Tck R,Fls,Yel,Red,Itc,Int/90,Clear,Conc,Con/90,Clean Sheets,xSv %,Svh,Svt,Svp,Sv %,Pens Faced,Pens Saved,Pens Saved Ratio,PoM
Rst,Davide Calabria,D/WB (R),AC Milan,,Italy (Serie A),-,"£105,000 p/w",30/6/2028,ITA,,Trained in nation (15-21),177 cm,70 kg,Right,28,Resolute,Reserved,£7.4M - £11M,31 (1),31,"2,782",258.89,6.97,1,0.03,16,5,31%,0.52,0.16,0,0,-,0,1.31,6,0.47,2,0.06,28,0.91,"2,116",68.45,"1,923",62.21,91%,47,11,23%,42,1.36,16,412.6km,100,3.24,48,1.55,48%,5,69,2.23,82%,36,6,0,97,3.14,27,-,-,-,-,-,-,-,-,-,-,-,0
,Samuel Lino,"D/WB/M (L), AM (RL)",Borussia Dortmund,,Germany (Bundesliga),-,"£45,500 p/w",30/6/2029,BRA,ESP,-,178 cm,72 kg,Right,25,Spirited,Evasive,£39M - £57M,2 (6),2,284,81.33,6.74,0,-,6,3,50%,1.9,0.95,0,0,-,1,0.52,1,0.88,1,0.32,2,0.63,121,38.35,99,31.37,82%,3,0,-,7,2.22,6,47.0km,21,6.65,2,0.63,10%,0,7,2.22,88%,6,0,0,10,3.17,3,-,-,-,-,-,-,-,-,-,-,-,0
,Alex Meret,GK,Parthenope,,Italy (Serie A),-,"£105,000 p/w",30/6/2028,ITA,,Trained in nation (15-21),190 cm,80 kg,Left Only,27,Fairly Professional,Reserved,£121M - £163M,36,36,"3,240",270,6.87,0,-,0,-,-,-,-,0,0,-,0,0,0,-,0,-,0,-,"1,148",31.89,"1,109",30.81,97%,-,-,-,0,-,0,229.6km,-,-,-,-,-,0,-,-,-,0,0,0,1,0.03,-,43,1.19,9,-617%,50,18,41,-2%,0,0,-,3
,Sergi Darder,"DM, M (C)",Mallorca,,Spain (First Division),-,"£40,500 p/w",30/6/2027,ESP,,-,180 cm,72 kg,Right,31,Spirited,Evasive,£48M,25,25,"1,920",151.88,7.01,1,0.05,19,6,32%,0.89,0.28,0,0,-,1,1.6,5,0.24,7,0.33,30,1.41,"1,191",55.83,"1,078",50.53,91%,111,25,40%,17,0.8,26,282.9km,71,3.33,33,1.55,46%,3,41,1.92,84%,26,4,0,38,1.78,14,-,-,-,-,-,-,-,-,-,-,-,2
,Ander Barrenetxea,M/AM (RL),Real San Sebastián,,Spain (First Division),-,"£28,000 p/w",30/6/2030,ESP,BAS,-,178 cm,74 kg,Right,23,Fairly Loyal,Level-headed,£64M,23 (4),23,"1,578",165.4,7.15,5,0.29,53,21,40%,3.02,1.2,0,0,-,2,6.04,14,1.74,3,0.17,27,1.54,650,37.07,569,32.45,88%,65,14,22%,71,4.05,26,219.8km,76,4.33,32,1.83,42%,0,43,2.45,88%,15,0,0,29,1.65,10,-,-,-,-,-,-,-,-,-,-,-,2
Inj,Barış Alper Yılmaz,"D (L), AM (RL), ST (C)",Paris SG,,France (Ligue 1 Uber Eats),-,"£81,000 p/w",30/6/2027,TUR,,-,186 cm,75 kg,Right,24,Resolute,Reserved,£14.5M - £22M,0 (6),-,108,45.17,7.1,2,1.67,9,3,33%,7.5,2.5,0,0,-,0,1.37,0,-,0,-,1,0.83,51,42.5,41,34.17,80%,5,0,-,3,2.5,1,15.2km,6,5,1,0.83,17%,0,3,2.5,75%,1,0,0,2,1.67,0,-,-,-,-,-,-,-,-,-,-,-,0
,Isaac Romero,"AM (L), ST (C)",Sevilla,,Spain (First Division),-,"£49,000 p/w",30/6/2029,ESP,,-,184 cm,75 kg,Right,24,Resolute,Reserved,£16.5M,24 (1),24,"1,891",134.03,7.05,12,0.57,67,33,49%,3.19,1.57,0,0,-,13,6.29,4,0.21,2,0.1,16,0.76,516,24.56,440,20.94,85%,11,0,-,25,1.19,44,246.7km,174,8.28,79,3.76,45%,0,15,0.71,42%,23,1,0,23,1.09,5,-,-,-,-,-,-,-,-,-,-,-,1
,Jarrad Branthwaite,D (RLC),Everton,,England (Premier Division),-,"£57,000 p/w",30/6/2029,ENG,,-,196 cm,90 kg,Left,22,Fairly Ambitious,Media-friendly,£41M - £63M,30,30,"2,572",156.3,6.87,1,0.03,14,3,21%,0.49,0.1,0,0,-,0,1.22,4,0.15,2,0.07,7,0.24,"1,771",61.97,"1,603",56.09,91%,2,0,-,5,0.17,16,309.6km,209,7.31,151,5.28,72%,11,50,1.75,89%,21,4,0,53,1.85,22,-,-,-,-,-,-,-,-,-,-,-,2
,Dani Vivian,"D (C), DM",A. Bilbao,,Spain (First Division),-,"£33,000 p/w",30/6/2032,ESP,BAS,-,183 cm,83 kg,Right,25,Perfectionist,Reserved,£47M,36,36,"3,088",245.12,6.81,0,-,12,1,8%,0.35,0.03,0,0,-,0,0.59,4,0.17,0,-,12,0.35,"2,240",65.28,"2,106",61.38,94%,5,1,20%,4,0.12,9,402.8km,160,4.66,108,3.15,68%,12,44,1.28,71%,15,1,0,91,2.65,30,-,-,-,-,-,-,-,-,-,-,-,1
,Harvey Elliott,"M (C), AM (RC)",Liverpool,,England (Premier Division),-,"£65,000 p/w",30/6/2029,ENG,,-,170 cm,64 kg,Left Only,21,Fairly Determined,Level-headed,£133M - £158M,0 (1),-,14,14,-,0,-,0,-,-,-,-,0,0,-,0,0,0,-,0,-,0,-,7,-,6,-,86%,0,0,-,0,-,0,2.4km,1,-,0,-,0%,0,-,-,-,0,0,0,0,-,0,-,-,-,-,-,-,-,-,-,-,-,0
,Nordi Mukiele,"D (RC), WB (R)",Atalanta,,Italy (Serie A),-,"£43,000 p/w",30/6/2028,FRA,COD,-,187 cm,84 kg,Right,27,Fairly Determined,Level-headed,£15.5M - £17M,31 (3),31,"2,646",210.19,7.1,1,0.03,17,9,53%,0.58,0.31,0,0,-,5,0.91,7,1.04,4,0.14,37,1.26,"2,159",73.44,"1,998",67.96,93%,77,15,18%,29,0.99,18,369.0km,146,4.97,111,3.78,76%,0,55,1.87,80%,15,2,0,76,2.59,24,-,-,-,-,-,-,-,-,-,-,-,1
Wnt,Iván Martín,"M (LC), AM (RLC)",Girona,,Spain (First Division),-,"£46,000 p/w",30/6/2028,ESP,BAS,-,178 cm,75 kg,Left,26,Resolute,Level-headed,£19M,33,33,"2,422",255.78,7.03,8,0.3,57,22,39%,2.12,0.82,0,0,-,12,5.48,7,0.46,5,0.19,56,2.08,982,36.49,852,31.66,87%,69,8,12%,55,2.04,30,331.2km,133,4.94,50,1.86,38%,1,53,1.97,78%,32,2,0,38,1.41,15,-,-,-,-,-,-,-,-,-,-,-,4
,Muhammed Cham,M/AM (RC),RB Leipzig,,Germany (Bundesliga),-,"£19,750 p/w",30/6/2029,AUT,,-,180 cm,67 kg,Left,24,Balanced,Media-friendly,£28M - £35M,32,32,"2,580",243.23,7.02,5,0.17,57,24,42%,1.99,0.84,0,0,-,8,5.93,15,1.48,9,0.31,57,1.99,973,33.94,813,28.36,84%,87,28,28%,44,1.53,45,381.2km,99,3.45,25,0.87,25%,0,63,2.2,79%,19,3,0,45,1.57,17,-,-,-,-,-,-,-,-,-,-,-,2
,Pascal Groß,"DM, M/AM (C)",Borussia Dortmund,,Germany (Bundesliga),-,"£70,000 p/w",30/6/2026,GER,,-,181 cm,76 kg,Right,33,Resolute,Reserved,£23M - £33M,28 (1),28,"2,405",259,6.8,1,0.04,26,11,42%,0.97,0.41,0,0,-,3,1.84,15,2.87,3,0.11,49,1.83,"1,093",40.9,949,35.51,87%,166,24,-,26,0.97,26,361.3km,105,3.93,34,1.27,32%,5,50,1.87,68%,15,1,0,51,1.91,20,-,-,-,-,-,-,-,-,-,-,-,0
,Moussa Niakhaté,D (C),OL,,France (Ligue 1 Uber Eats),-,"£65,000 p/w",30/6/2028,SEN,FRA,-,190 cm,82 kg,Left,28,Spirited,Evasive,£34M - £52M,22 (1),22,"1,912",164.35,6.82,1,0.05,13,4,31%,0.61,0.19,1,1,100%,0,1.87,1,0.13,1,0.05,6,0.28,"1,358",63.92,"1,260",59.31,93%,1,0,-,8,0.38,10,246.7km,138,6.5,98,4.61,71%,6,27,1.27,69%,29,6,0,26,1.22,24,-,-,-,-,-,-,-,-,-,-,-,0
,Jadon Sancho,"M (RL), AM (RLC)",Man UFC,,England (Premier Division),-,"£275,000 p/w",30/6/2027,ENG,TRI,-,180 cm,76 kg,Right,24,Ambitious,Media-friendly,£50M - £76M,4 (11),4,417,98.56,7.08,3,0.65,10,8,80%,2.16,1.73,0,0,-,1,0.93,5,3.54,2,0.43,6,1.29,175,37.77,143,30.86,82%,16,3,18%,16,3.45,6,61.4km,12,2.59,4,0.86,33%,0,11,2.37,92%,2,1,0,5,1.08,3,-,-,-,-,-,-,-,-,-,-,-,1
,Yunus Musah,"DM, M/AM (RC)",AC Milan,,Italy (Serie A),-,"£42,000 p/w",30/6/2028,USA,ENG,-,178 cm,71 kg,Right,22,Spirited,Evasive,£58M - £70M,2 (11),2,347,90.18,6.85,0,-,5,1,20%,1.3,0.26,0,0,-,1,0.26,5,2.34,2,0.52,8,2.07,209,54.21,185,47.98,89%,15,2,14%,12,3.11,4,57.7km,15,3.89,5,1.3,33%,0,10,2.59,71%,9,1,0,7,1.82,2,-,-,-,-,-,-,-,-,-,-,-,0
,Nicolò Zaniolo,"AM (RLC), ST (C)",FC Bayern,,Germany (Bundesliga),-,"£79,000 p/w",30/6/2029,ITA,,Trained in nation (15-21),189 cm,79 kg,Left,25,Driven,Outspoken,£36M - £42M,0 (1),-,14,14,6.8,1,-,1,1,100%,-,-,0,0,-,0,0,0,-,0,-,0,-,3,-,2,-,67%,0,0,-,0,-,1,1.6km,1,-,0,-,0%,0,-,-,-,0,0,0,0,-,0,-,-,-,-,-,-,-,-,-,-,-,0
,Nikola Vlašić,"M (C), AM (RLC), ST (C)",Torino,,Italy (Serie A),-,"£93,000 p/w",30/6/2029,CRO,,-,178 cm,78 kg,Right,27,Fairly Determined,Level-headed,£22M - £32M,26 (1),26,"2,106",151.4,6.79,4,0.17,27,8,30%,1.15,0.34,2,1,50%,8,4.27,9,0.41,1,0.04,44,1.88,993,42.44,851,36.37,86%,76,13,12%,79,3.38,58,310.2km,149,6.37,46,1.97,31%,0,65,2.78,83%,20,1,0,40,1.71,8,-,-,-,-,-,-,-,-,-,-,-,1
,Paulo Dybala,"AM (RLC), ST (C)",AS Roma,,Italy (Serie A),-,"£135,000 p/w",30/6/2027,ARG,POL,Trained in nation (15-21),177 cm,78 kg,Left,31,Fairly Professional,Level-headed,Not for Sale,20,20,"1,567",152.57,6.89,5,0.29,45,23,51%,2.58,1.32,0,0,-,8,4.27,9,0.94,3,0.17,35,2.01,525,30.15,441,25.33,84%,66,10,18%,29,1.67,34,225.2km,43,2.47,5,0.29,12%,1,12,0.69,63%,10,2,0,16,0.92,3,-,-,-,-,-,-,-,-,-,-,-,1
,Mika Mármol,D (LC),Leeds,,England (Premier Division),-,"£73,000 p/w",30/6/2029,ESP,,-,181 cm,71 kg,Left,23,Fairly Determined,Level-headed,£56M - £67M,32 (1),32,"2,696",169.85,6.91,0,-,11,0,0%,0.37,0,0,0,-,1,1.88,9,0.75,0,-,30,1,"1,691",56.45,"1,527",50.98,90%,27,6,22%,47,1.57,29,364.6km,128,4.27,95,3.17,74%,9,75,2.5,82%,24,1,0,77,2.57,27,-,-,-,-,-,-,-,-,-,-,-,0
Inj,Kenan Yıldız,"AM (RLC), ST (C)",Juventus,,Italy (Serie A),-,"£30,500 p/w",30/6/2029,TUR,GER,-,185 cm,80 kg,Right,19,Fairly Determined,Level-headed,£18.5M - £23M,15 (9),15,"1,199",159.36,6.99,3,0.23,27,9,33%,2.03,0.68,0,0,-,2,3.26,10,1.64,2,0.15,33,2.48,435,32.65,380,28.52,87%,60,12,17%,45,3.38,25,173.6km,62,4.65,15,1.13,24%,0,34,2.55,81%,6,1,0,24,1.8,5,-,-,-,-,-,-,-,-,-,-,-,1
Wnt,Mitchel Bakker,"D (LC), WB (L)",Atalanta,,Italy (Serie A),-,"£46,500 p/w",30/6/2027,NED,,-,185 cm,74 kg,Left,24,Ambitious,Media-friendly,£20M - £22M,10 (16),10,"1,205",196.72,7.43,0,-,26,11,42%,1.94,0.82,0,0,-,3,1.86,24,5.76,18,1.34,84,6.27,786,58.71,685,51.16,87%,167,36,20%,34,2.54,25,188.8km,36,2.69,19,1.42,53%,1,29,2.17,81%,21,5,0,49,3.66,13,-,-,-,-,-,-,-,-,-,-,-,2
,Marco Carnesecchi,GK,Atalanta,,Italy (Serie A),-,"£90,000 p/w",30/6/2029,ITA,,Trained in nation (15-21),191 cm,83 kg,Right Only,24,Resolute,Level-headed,£38M - £49M,33,33,"3,000",277.5,7.03,0,-,0,-,-,-,-,0,0,-,0,0,0,-,0,-,0,-,"1,055",31.65,"1,027",30.81,97%,-,-,-,0,-,0,221.8km,-,-,-,-,-,0,0,0,0%,0,0,0,3,0.09,-,25,0.75,15,-535%,37,9,22,-3%,5,0,0%,1
,Jakub Kiwior,"D (LC), DM",Atalanta,Arsenal,Italy (Serie A),-,"£58,000 p/w",1/7/2025,POL,,-,188 cm,78 kg,Left,25,Fairly Professional,Reserved,£28M - £40M,15 (13),15,"1,597",190.38,7.01,1,0.06,15,4,27%,0.85,0.23,0,0,-,0,1.24,0,-,0,-,15,0.85,"1,499",84.48,"1,388",78.22,93%,16,4,-,3,0.17,6,213.6km,121,6.82,91,5.13,75%,2,33,1.86,77%,13,2,0,39,2.2,13,-,-,-,-,-,-,-,-,-,-,-,1
,Matías Soulé,AM (RC),AS Roma,,Italy (Serie A),-,"£32,500 p/w",30/6/2029,ARG,ITA,Trained in nation (15-21),182 cm,71 kg,Left,21,Resolute,Reserved,£34M - £52M,29,29,"2,325",160.62,7.1,8,0.31,56,25,45%,2.17,0.97,0,0,-,18,7.37,14,1.04,6,0.23,48,1.86,"1,240",48,"1,063",41.15,86%,92,16,17%,130,5.03,58,337.6km,105,4.06,32,1.24,30%,0,49,1.9,84%,34,1,0,46,1.78,6,-,-,-,-,-,-,-,-,-,-,-,4
,Artem Dovbyk,ST (C),AS Roma,,Italy (Serie A),-,"£49,000 p/w",30/6/2029,UKR,,-,189 cm,87 kg,Left,27,Professional,"Evasive, Reserved",£33M - £46M,16 (6),16,"1,538",216.7,7.14,11,0.64,46,29,63%,2.69,1.7,1,1,100%,10,6.59,2,0.18,3,0.18,10,0.59,472,27.62,396,23.17,84%,7,1,-,15,0.88,33,211.8km,126,7.37,77,4.51,61%,0,24,1.4,83%,13,0,0,14,0.82,5,-,-,-,-,-,-,-,-,-,-,-,1
Wnt,Yan Couto,D/WB/M/AM (R),Man City,,England (Premier Division),-,"£190,000 p/w",30/6/2029,BRA,POR,-,170 cm,65 kg,Right,22,Fairly Ambitious,Media-friendly,£51M - £61M,30 (5),30,"2,648",189.37,6.95,0,-,13,3,23%,0.44,0.1,0,0,-,1,1.65,3,0.8,2,0.07,27,0.92,"1,671",56.79,"1,503",51.08,90%,38,6,16%,58,1.97,27,374.1km,92,3.13,35,1.19,38%,1,73,2.48,84%,23,2,0,93,3.16,23,-,-,-,-,-,-,-,-,-,-,-,0
,Anthony Gordon,"AM (RLC), ST (C)",Newcastle,,England (Premier Division),-,"£140,000 p/w",30/6/2029,ENG,IRL,-,183 cm,76 kg,Right,23,Fairly Determined,Level-headed,£62M - £92M,22 (10),22,"1,807",183.81,7.04,4,0.2,46,23,50%,2.29,1.15,0,0,-,14,5.05,7,0.92,3,0.15,27,1.34,767,38.2,660,32.87,86%,76,15,19%,88,4.38,40,264.8km,86,4.28,36,1.79,42%,1,61,3.04,84%,21,1,0,32,1.59,15,-,-,-,-,-,-,-,-,-,-,-,1
,Yves Bissouma,"DM, M (C)",Tottenham,,England (Premier Division),-,"£140,000 p/w",30/6/2028,MLI,CIV,-,182 cm,78 kg,Right,28,Balanced,Level-headed,£90M - £112M,28 (2),28,"2,371",250.15,6.97,2,0.08,22,5,23%,0.84,0.19,0,0,-,2,2.74,7,0.62,3,0.11,19,0.72,"1,466",55.65,"1,324",50.26,90%,16,3,18%,39,1.48,25,351.3km,87,3.3,49,1.86,56%,1,60,2.28,73%,33,5,0,45,1.71,11,-,-,-,-,-,-,-,-,-,-,-,0
,Raoul Bellanova,D/WB/M (R),Atalanta,,Italy (Serie A),-,"£85,000 p/w",30/6/2029,ITA,,Trained in nation (15-21),186 cm,78 kg,Right,24,Resolute,Reserved,£43M - £52M,21 (6),21,"1,816",188.18,7.22,1,0.05,20,10,50%,0.99,0.5,0,0,-,8,1.63,15,1.9,11,0.55,60,2.97,"1,149",56.94,"1,002",49.66,87%,231,41,16%,76,3.77,38,278.2km,64,3.17,32,1.59,50%,1,58,2.87,74%,27,1,0,57,2.82,17,-,-,-,-,-,-,-,-,-,-,-,1
Wnt,Richarlison,"AM (RL), ST (C)",Tottenham,,England (Premier Division),-,"£175,000 p/w",30/6/2027,BRA,,-,181 cm,71 kg,Right,27,Balanced,Media-friendly,£49M - £72M,4 (19),4,606,67.47,7,3,0.45,28,10,36%,4.16,1.49,1,0,0%,1,4.97,2,0.63,1,0.15,3,0.45,247,36.68,210,31.19,85%,14,2,14%,16,2.38,13,75.4km,38,5.64,11,1.63,29%,0,17,2.52,94%,7,0,0,13,1.93,3,-,-,-,-,-,-,-,-,-,-,-,0
Lst,Konrad Laimer,"D/WB (R), DM, M (C)",FC Bayern,,Germany (Bundesliga),£20.5M,"£140,000 p/w",30/6/2027,AUT,,-,180 cm,72 kg,Right,27,Driven,Evasive,£21M,5 (20),5,772,78.67,6.85,0,-,7,0,0%,0.82,0,0,0,-,0,0.8,3,3.34,1,0.12,16,1.87,476,55.49,418,48.73,88%,9,2,22%,14,1.63,6,109.7km,21,2.45,14,1.63,67%,1,20,2.33,77%,12,1,0,20,2.33,8,-,-,-,-,-,-,-,-,-,-,-,0
,Carlos Augusto,"D (LC), WB/M (L)",Inter,,Italy (Serie A),-,"£46,500 p/w",30/6/2028,BRA,ITA,-,184 cm,78 kg,Left,26,Balanced,Level-headed,£33M - £38M,9 (14),9,"1,116",192.14,6.96,2,0.16,7,4,57%,0.56,0.32,0,0,-,0,0.75,3,0.73,1,0.08,11,0.89,764,61.61,697,56.21,91%,28,2,6%,22,1.77,5,168.0km,55,4.44,29,2.34,53%,3,52,4.19,84%,13,2,0,34,2.74,14,-,-,-,-,-,-,-,-,-,-,-,0
,Moise Kean,"AM (RL), ST (C)",Fiorentina,,Italy (Serie A),-,"£80,000 p/w",30/6/2029,ITA,CIV,Trained in nation (15-21),183 cm,71 kg,Right,24,Fairly Ambitious,Outspoken,£26M - £31M,25,25,"2,094",158.52,6.86,8,0.34,37,16,43%,1.59,0.69,0,0,-,14,7.92,5,0.24,0,-,8,0.34,566,24.33,505,21.7,89%,15,0,-,35,1.5,30,287.1km,121,5.2,38,1.63,31%,0,36,1.55,80%,33,1,0,24,1.03,7,-,-,-,-,-,-,-,-,-,-,-,0
,Noah Okafor,"AM (RL), ST (C)",AC Milan,,Italy (Serie A),-,"£160,000 p/w",30/6/2029,SUI,NGA,-,185 cm,80 kg,Right,24,Balanced,Media-friendly,£52M - £74M,19 (5),19,"1,703",223.12,7.11,11,0.58,37,22,59%,1.96,1.16,0,0,-,22,7.48,5,0.55,2,0.11,17,0.9,452,23.89,386,20.4,85%,18,4,22%,36,1.9,24,229.1km,91,4.81,29,1.53,32%,0,30,1.59,83%,23,0,0,23,1.22,7,-,-,-,-,-,-,-,-,-,-,-,2
,Edmond Tapsoba,"D (C), DM",Bayer 04,,Germany (Bundesliga),-,"£82,000 p/w",30/6/2028,BFA,,-,192 cm,85 kg,Right,26,Resolute,Media-friendly,£41M,10 (12),10,"1,161",118.7,6.91,2,0.16,10,4,40%,0.78,0.31,2,2,100%,1,2.99,1,0.15,0,-,3,0.23,848,65.74,795,61.63,94%,2,1,50%,6,0.47,6,155.8km,76,5.89,53,4.11,70%,1,20,1.55,80%,9,0,0,23,1.78,6,-,-,-,-,-,-,-,-,-,-,-,0
,Eric García,"D (C), DM",FC Bayern,,Germany (Bundesliga),-,"£48,500 p/w",30/6/2028,ESP,,-,182 cm,78 kg,Right,24,Resolute,Reserved,£13.5M - £17M,4 (4),4,454,113.67,6.9,0,-,4,1,25%,0.79,0.2,0,0,-,0,0.08,1,0.79,0,-,2,0.4,324,64.23,307,60.86,95%,0,0,-,1,0.2,7,63.4km,29,5.75,17,3.37,59%,0,2,0.4,50%,3,0,0,10,1.98,9,-,-,-,-,-,-,-,-,-,-,-,0
Loa,Sávio,AM (RL),Man City,,England (Premier Division),-,"£40,000 p/w",30/6/2029,BRA,,-,174 cm,67 kg,Left Only,20,Spirited,Level-headed,£105M - £151M,4 (4),4,360,90,7.1,2,0.5,13,6,46%,3.25,1.5,0,0,-,3,1.89,0,-,0,-,5,1.25,132,33,112,28,85%,17,1,8%,8,2,5,57.1km,13,3.25,1,0.25,8%,0,11,2.75,85%,6,0,0,3,0.75,0,-,-,-,-,-,-,-,-,-,-,-,0
,Deniz Undav,"AM (C), ST (C)",VfB Stuttgart,,Germany (Bundesliga),-,"£35,000 p/w",30/6/2027,GER,TUR,-,179 cm,86 kg,Right,28,Spirited,Media-friendly,£17.5M - £22M,22 (1),22,"1,806",147,6.88,9,0.45,58,25,43%,2.89,1.25,0,0,-,14,6.44,6,1.58,3,0.15,16,0.8,449,22.38,386,19.24,86%,12,1,8%,26,1.3,48,242.8km,125,6.23,50,2.49,40%,0,24,1.2,69%,24,0,0,24,1.2,7,-,-,-,-,-,-,-,-,-,-,-,1
,Ismaël Bennacer,"DM, M (C)",Liverpool,,England (Premier Division),-,"£120,000 p/w",30/6/2029,ALG,FRA,-,175 cm,70 kg,Left,27,Resolute,Level-headed,£62M - £87M,19 (17),19,"1,699",140.56,6.95,1,0.05,16,3,19%,0.85,0.16,0,0,-,3,2.01,7,1.47,7,0.37,26,1.38,"1,098",58.16,985,52.18,90%,23,4,18%,21,1.11,15,250.3km,46,2.44,17,0.9,37%,3,43,2.28,77%,21,6,0,35,1.85,14,-,-,-,-,-,-,-,-,-,-,-,1
nEU,André-Franck Zambo Anguissa,"DM, M (C)",Parthenope,,Italy (Serie A),-,"£110,000 p/w",30/6/2027,CMR,,-,184 cm,78 kg,Right,29,Resilient,Evasive,£44M - £54M,23 (4),23,"1,956",200.55,6.93,3,0.14,22,9,41%,1.01,0.41,0,0,-,2,2.97,10,0.94,2,0.09,17,0.78,"1,569",72.19,"1,403",64.56,89%,8,1,12%,20,0.92,18,303.7km,65,2.99,27,1.24,42%,0,43,1.98,73%,17,5,0,44,2.02,15,-,-,-,-,-,-,-,-,-,-,-,1
,Lucas Martínez Quarta,D (C),R. Madrid,,Spain (First Division),-,"£82,000 p/w",30/6/2027,ARG,ITA,-,183 cm,78 kg,Right,28,Fairly Determined,Level-headed,£25M - £38M,5 (6),5,647,177.42,6.85,0,-,6,0,0%,0.83,0,0,0,-,0,0.69,1,1.29,0,-,0,-,470,65.38,416,57.87,89%,0,0,-,2,0.28,0,83.2km,45,6.26,27,3.76,60%,0,14,1.95,82%,11,3,0,11,1.53,2,-,-,-,-,-,-,-,-,-,-,-,0
,Ivan Provedel,GK,Lazio,,Italy (Serie A),-,"£67,000 p/w",30/6/2028,ITA,,Trained in nation (15-21),192 cm,84 kg,Right Only,30,Model Professional,Level-headed,£28M - £39M,26,26,"2,340",180,6.77,0,-,1,0,0%,0.04,0,0,0,-,0,0.05,0,-,0,-,0,-,535,20.58,332,12.77,62%,-,-,-,0,-,0,161.8km,-,-,-,-,-,0,1,0.04,20%,0,0,0,1,0.04,-,34,1.31,8,-553%,35,11,32,-1%,5,1,20%,0
,Danilho Doekhi,D (C),Union Berlin,,Germany (Bundesliga),-,"£34,500 p/w",30/6/2029,NED,SUR,-,190 cm,86 kg,Right,26,Spirited,"Evasive, Reserved",£10M,26,26,"2,329",185.64,7.07,0,-,30,5,17%,1.16,0.19,0,0,-,0,2.42,4,0.19,1,0.04,10,0.39,"1,668",64.46,"1,552",59.97,93%,4,0,-,2,0.08,16,288.3km,187,7.23,140,5.41,75%,8,31,1.2,69%,13,3,0,52,2.01,35,-,-,-,-,-,-,-,-,-,-,-,0
,Karim Adeyemi,"AM (RL), ST (C)",Borussia Dortmund,,Germany (Bundesliga),-,"£100,000 p/w",30/6/2029,GER,NGA,-,180 cm,76 kg,Left,23,Fairly Determined,Media-friendly,£89M,24 (3),24,"1,705",126.14,6.86,1,0.05,38,14,37%,2.01,0.74,0,0,-,9,3.62,6,0.55,1,0.05,15,0.79,584,30.83,464,24.49,79%,86,12,14%,89,4.7,56,245.9km,104,5.49,33,1.74,32%,2,68,3.59,84%,38,2,0,37,1.95,15,-,-,-,-,-,-,-,-,-,-,-,0
,Samson Baidoo,"D (C), DM",Liverpool,,England (Premier Division),-,"£55,000 p/w",30/6/2029,AUT,,-,187 cm,86 kg,Right,20,Fairly Determined,Level-headed,£111M - £132M,5 (6),5,610,123.75,6.93,0,-,2,1,50%,0.3,0.15,0,0,-,0,0.32,2,0.63,1,0.15,7,1.03,440,64.92,406,59.9,92%,0,0,-,1,0.15,4,77.4km,55,8.11,33,4.87,60%,1,6,0.89,86%,2,0,0,9,1.33,10,-,-,-,-,-,-,-,-,-,-,-,0
nEU,Billy Gilmour,"DM, M (C)",Parthenope,,Italy (Serie A),-,"£55,000 p/w",30/6/2029,SCO,,-,170 cm,65 kg,Right,23,Resolute,Reserved,£42M - £49M,17 (14),17,"1,566",177.62,6.94,3,0.17,18,7,39%,1.03,0.4,1,1,100%,0,2.72,2,0.5,4,0.23,20,1.15,"1,303",74.89,"1,178",67.7,90%,51,13,22%,11,0.63,20,250.0km,33,1.9,7,0.4,21%,1,44,2.53,72%,11,2,0,30,1.72,11,-,-,-,-,-,-,-,-,-,-,-,0
,Lorenzo Pellegrini,"DM, M/AM (C)",AS Roma,,Italy (Serie A),-,"£105,000 p/w",30/6/2028,ITA,,Trained in nation (15-21),186 cm,77 kg,Right,28,Professional,Evasive,£33M - £51M,22 (2),22,"1,781",139.05,7.02,3,0.15,15,6,40%,0.76,0.3,0,0,-,2,2.83,16,2.15,4,0.2,42,2.12,"1,130",57.1,996,50.33,88%,82,17,42%,17,0.86,23,265.3km,47,2.38,21,1.06,45%,0,33,1.67,75%,15,2,0,29,1.47,9,-,-,-,-,-,-,-,-,-,-,-,1
Inj,Pierre Kalulu,D (RC),AC Milan,,Italy (Serie A),-,"£42,000 p/w",30/6/2027,FRA,COD,-,184 cm,80 kg,Right,24,Light-Hearted,Unflappable,£17M - £24M,9 (11),9,972,170,7.03,1,0.09,8,3,38%,0.74,0.28,0,0,-,0,0.56,0,-,1,0.09,7,0.65,948,87.78,904,83.7,95%,2,0,-,4,0.37,4,127.9km,45,4.17,31,2.87,69%,1,20,1.85,87%,4,0,0,21,1.94,9,-,-,-,-,-,-,-,-,-,-,-,0
